Precinct,Anna Marie Arpino (IND),Tremecius Dixon (DEM),Steven Jackson (DEM),Adrian Perkins (DEM),Jeron Rogers (DEM),"Lee O. Savage, Jr. (REP)",Jim Taliaferro (REP),Ollie S. Tyler (DEM)
93,1.0,4.0,28.0,95.0,0.0,174.0,161.0,71.0
94,6.0,3.0,34.0,94.0,2.0,150.0,141.0,97.0
95,3.0,6.0,69.0,130.0,3.0,176.0,122.0,156.0
97,4.0,1.0,18.0,87.0,2.0,178.0,157.0,88.0
98,3.0,0.0,9.0,40.0,0.0,59.0,81.0,31.0
99,2.0,1.0,23.0,59.0,3.0,54.0,42.0,23.0
100,2.0,0.0,26.0,65.0,0.0,6.0,12.0,74.0
101,4.0,4.0,81.0,222.0,1.0,39.0,28.0,173.0
102,0.0,1.0,36.0,125.0,2.0,111.0,148.0,65.0
103,2.0,4.0,30.0,117.0,1.0,98.0,178.0,27.0
104,5.0,2.0,45.0,153.0,2.0,231.0,166.0,161.0
106,5.0,2.0,17.0,220.0,0.0,91.0,241.0,29.0
107,0.0,5.0,28.0,48.0,2.0,5.0,4.0,55.0
108,0.0,0.0,9.0,37.0,1.0,25.0,35.0,23.0
109,2.0,1.0,8.0,70.0,0.0,68.0,171.0,28.0
110,3.0,1.0,18.0,192.0,1.0,89.0,337.0,52.0
111,3.0,0.0,16.0,208.0,0.0,147.0,221.0,38.0
112,0.0,3.0,45.0,61.0,2.0,2.0,1.0,120.0
113,1.0,1.0,25.0,115.0,2.0,104.0,156.0,37.0
114,5.0,4.0,23.0,103.0,3.0,136.0,181.0,48.0
115,1.0,7.0,56.0,138.0,2.0,13.0,31.0,98.0
12,5.0,5.0,26.0,209.0,4.0,240.0,430.0,42.0
12,0.0,3.0,26.0,98.0,2.0,8.0,10.0,103.0
123,0.0,5.0,34.0,110.0,0.0,4.0,6.0,100.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,1.0,4.0,0.0,10.0,2.0,0.0
129,3.0,3.0,18.0,360.0,2.0,198.0,404.0,56.0
135,9.0,13.0,69.0,176.0,3.0,98.0,137.0,80.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,1.0,7.0,14.0,0.0,26.0,17.0,7.0
